athlete_name,date,event,location,distance,current_type,temp,field_size
Marc-Antoine OLIVIER,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Jack BURNELL,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Simone RUFFINI,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Evgenii DRATTCEV,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Axel REYMOND,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Christian REICHERT,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Andreas WASCHBURGER,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Ferry WEERTMAN,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Allan DO CARMO,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Mark PAPP,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Kirill ABROSIMOV,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Spyridon GIANNIOTIS,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Damien CATTIN-VIDAL,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Gergely GYURTA,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Matteo FURLAN,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Kirill BELYAEV,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
Logan FONTAINE,2/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,No Current,Neutral,81.0
