athlete_name,date,event,location,distance,current_type,temp,field_size
Damian BLAUM,2/5/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,12.0
Edoardo STOCHINO,2/5/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,12.0
Evgenij POP ACEV,2/5/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,12.0
Simone ERCOLI,2/5/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,12.0
Matheus EMERIM EVANGELISTA,2/5/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,12.0
Edouard LEHOUX,2/5/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,12.0
Aquiles BALAUDO,2/5/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,12.0
Matias DIAZ HERNANDEZ,2/5/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,12.0
Aleksandar ILIEVSKI,2/5/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,12.0
Samir BOTELHO BAREL,2/5/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,12.0
Luciano SEGUARDO,2/5/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,12.0
Matias AGUIRRE,2/5/2017,FINA Grand Prix,"Santa Fe, ARG",57.0,Current,Neutral,12.0
