athlete_name,date,event,location,distance,current_type,temp,field_size
Kristof RASOVSZKY,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Rob MUFFELS,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Andrea MANZI,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Marcel SCHOUTEN,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Simone RUFFINI,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Federico VANELLI,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Ferry WEERTMAN,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Christian REICHERT,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Caleb HUGHES,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Pepijn SMITS,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Allan DO CARMO,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Tobias Patrick ROBINSON,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Andreas WASCHBURGER,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Diogo VILLARINHO,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Yuval SAFRA,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Yasunari HIRAI,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Matteo FURLAN,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Simon HUITENGA,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Alexander STUDZINSKI,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Krzysztof PIELOWSKI,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Ivan ENDERICA OCHOA,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Guillermo BERTOLA,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Joaquin MORENO,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Yohsuke MIYAMOTO,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Miguel ARMIJOS,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Jan URBANIAK,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Taiki NONAKA,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Yosuke AOKI,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Ellito SODEMANN,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Shai TOLEDANO,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Santiago ENDERICA,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
David FARINANGO,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Nico MANOUSSAKIS,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Fernando PONTE,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Oliver SIGNORINI,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Rafael GIL,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Alexandre COUTINHO,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Jose PAULA CARVALHO,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Evgenij POP ACEV,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Pedro PINOTES,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Zedheir TORREZ,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
Allessio MATARAZZO,6/24/2017,FINA World Cup,"Setubal, POR",10.0,No Current,Neutral,46.0
