athlete_name,date,event,location,distance,current_type,temp,field_size
Simone RUFFINI,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Federico VANELLI,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Hau-Li FAN,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Allan DO CARMO,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Andreas WASCHBURGER,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Christian REICHERT,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Diogo VILLARINHO,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Richard WEINBERGER,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Soeren MEISSNER,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Nicolas MASSE-SAVARD,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Simon HUITENGA,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Guillermo BERTOLA,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Yasunari HIRAI,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Chris DEEGAN,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Davy BILLIAU,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Fernando PONTE,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Jeremias MUNOZ,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Edouard BELANGER,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Francisco Eric SALINAS,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Antoine CHATELAIN-LAFLAMME,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Benjamin LORTIE,7/27/2017,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,27.0
Guillermo BERTOLA,7/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,13.0
Philippe GUERTIN,7/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,13.0
Evgenij POP ACEV,7/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,13.0
Xavier DESHARNAIS,7/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,13.0
Alexander STUDZINSKI,7/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,13.0
Damian BLAUM,7/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,13.0
Edoardo STOCHINO,7/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,13.0
Edouard LEHOUX,7/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,13.0
Bertrand VENTURI,7/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,13.0
Aleksandar ILIEVSKI,7/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,13.0
Matheus EMERIM EVANGELISTA,7/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,13.0
Aquiles BALAUDO,7/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,13.0
Davy BILLIAU,7/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,13.0
